# Serengeti Food Web Species List
# Source: Baskerville et al. 2011, PLOS Computational Biology
# DOI: 10.1371/journal.pcbi.1002321
# Table S1 - Species in the Serengeti food web
Code,Scientific_Name,Trophic_Role
SPOPYR,Sporobolus pyramidalis,Plant
SPOSPI,Sporobolus spicatus,Plant
SPOSTA,Sporobolus stapfianus,Plant
SYNCAF,Syncerus caffer,Herbivore
TAUORY,Taurotragus oryx,Herbivore
THETRI,Themeda triandra,Plant
TRASCR,Tragelaphus scriptus,Herbivore
TRIEIC,Tricholaena teneriffae,Plant
TURFIS,Turraea fischeri,Plant
TYPCAP,Typha capensis,Plant
XIMCAF,Ximenia caffra,Plant
ZIZ,Ziziphus spp.,Plant
